Name,total_score,mae_task1,mae_task2,mae_combined,candidate_no,DROP_COLUMNS,NORMALIZATIONS,HIDDEN_LAYERS,iterations,solver,lr_init,momentum,lr
Candidat_688760,100,0.358517288,0.344764028,0.703281316,688760,['User_ID'],Standard,"[64, 8]",2000,sgd,0.0001,0.99,invscaling
Candidat_688761,100,0.358517288,0.344764028,0.703281316,688761,['User_ID'],Standard,"[64, 8]",2000,sgd,0.0001,0.99,adaptive
Candidat_688762,100,0.358517288,0.344764028,0.703281316,688762,['User_ID'],Standard,"[64, 8]",2000,sgd,0.0001,0.95,constant
Candidat_688763,100,0.358517288,0.344764028,0.703281316,688763,['User_ID'],Standard,"[64, 8]",2000,sgd,0.0001,0.95,invscaling
Candidat_688764,100,0.358517288,0.344764028,0.703281316,688764,['User_ID'],Standard,"[64, 8]",2000,sgd,0.0001,0.95,adaptive
Candidat_688765,100,0.358517288,0.344764028,0.703281316,688765,['User_ID'],Standard,"[64, 8]",2000,sgd,0.0001,0.9,constant
Candidat_688766,100,0.358517288,0.344764028,0.703281316,688766,['User_ID'],Standard,"[64, 8]",2000,sgd,0.0001,0.9,invscaling
Candidat_688768,100,0.358517288,0.344764028,0.703281316,688768,['User_ID'],Standard,"[64, 8]",2000,sgd,0.0001,0.85,constant
Candidat_688770,100,0.358517288,0.344764028,0.703281316,688770,['User_ID'],Standard,"[64, 8]",2000,sgd,0.0001,0.85,adaptive
Candidat_688769,100,0.358517288,0.344764028,0.703281316,688769,['User_ID'],Standard,"[64, 8]",2000,sgd,0.0001,0.85,invscaling
Candidat_990301,100,0.370776221,0.335663486,0.706439708,990301,['User_ID'],Robust,"[8, 16, 64]",2000,sgd,0.0005,1,constant
Candidat_990302,100,0.370776221,0.335663486,0.706439708,990302,['User_ID'],Robust,"[8, 16, 64]",2000,sgd,0.0005,1,invscaling
Candidat_990303,100,0.370776221,0.335663486,0.706439708,990303,['User_ID'],Robust,"[8, 16, 64]",2000,sgd,0.0005,1,adaptive
Candidat_990304,100,0.370776221,0.335663486,0.706439708,990304,['User_ID'],Robust,"[8, 16, 64]",2000,sgd,0.0005,0.99,constant
Candidat_990305,100,0.370776221,0.335663486,0.706439708,990305,['User_ID'],Robust,"[8, 16, 64]",2000,sgd,0.0005,0.99,invscaling
Candidat_990306,100,0.370776221,0.335663486,0.706439708,990306,['User_ID'],Robust,"[8, 16, 64]",2000,sgd,0.0005,0.99,adaptive
Candidat_990307,100,0.370776221,0.335663486,0.706439708,990307,['User_ID'],Robust,"[8, 16, 64]",2000,sgd,0.0005,0.95,constant
Candidat_990308,100,0.370776221,0.335663486,0.706439708,990308,['User_ID'],Robust,"[8, 16, 64]",2000,sgd,0.0005,0.95,invscaling
Candidat_990309,100,0.370776221,0.335663486,0.706439708,990309,['User_ID'],Robust,"[8, 16, 64]",2000,sgd,0.0005,0.95,adaptive
Candidat_990310,100,0.370776221,0.335663486,0.706439708,990310,['User_ID'],Robust,"[8, 16, 64]",2000,sgd,0.0005,0.9,constant
Candidat_990311,100,0.370776221,0.335663486,0.706439708,990311,['User_ID'],Robust,"[8, 16, 64]",2000,sgd,0.0005,0.9,invscaling
Candidat_990312,100,0.370776221,0.335663486,0.706439708,990312,['User_ID'],Robust,"[8, 16, 64]",2000,sgd,0.0005,0.9,adaptive
Candidat_990313,100,0.370776221,0.335663486,0.706439708,990313,['User_ID'],Robust,"[8, 16, 64]",2000,sgd,0.0005,0.85,constant
Candidat_990314,100,0.370776221,0.335663486,0.706439708,990314,['User_ID'],Robust,"[8, 16, 64]",2000,sgd,0.0005,0.85,invscaling
Candidat_990315,100,0.370776221,0.335663486,0.706439708,990315,['User_ID'],Robust,"[8, 16, 64]",2000,sgd,0.0005,0.85,adaptive
Candidat_687071,100,0.369881436,0.343333846,0.713215282,687071,['User_ID'],Standard,"[32, 64]",2000,sgd,0.0005,0.9,invscaling
Candidat_687061,100,0.369881436,0.343333846,0.713215282,687061,['User_ID'],Standard,"[32, 64]",2000,sgd,0.0005,1,constant
Candidat_687062,100,0.369881436,0.343333846,0.713215282,687062,['User_ID'],Standard,"[32, 64]",2000,sgd,0.0005,1,invscaling
Candidat_687063,100,0.369881436,0.343333846,0.713215282,687063,['User_ID'],Standard,"[32, 64]",2000,sgd,0.0005,1,adaptive
Candidat_687064,100,0.369881436,0.343333846,0.713215282,687064,['User_ID'],Standard,"[32, 64]",2000,sgd,0.0005,0.99,constant
Candidat_687065,100,0.369881436,0.343333846,0.713215282,687065,['User_ID'],Standard,"[32, 64]",2000,sgd,0.0005,0.99,invscaling
Candidat_687066,100,0.369881436,0.343333846,0.713215282,687066,['User_ID'],Standard,"[32, 64]",2000,sgd,0.0005,0.99,adaptive
Candidat_687067,100,0.369881436,0.343333846,0.713215282,687067,['User_ID'],Standard,"[32, 64]",2000,sgd,0.0005,0.95,constant
Candidat_687068,100,0.369881436,0.343333846,0.713215282,687068,['User_ID'],Standard,"[32, 64]",2000,sgd,0.0005,0.95,invscaling
Candidat_687069,100,0.369881436,0.343333846,0.713215282,687069,['User_ID'],Standard,"[32, 64]",2000,sgd,0.0005,0.95,adaptive
Candidat_687070,100,0.369881436,0.343333846,0.713215282,687070,['User_ID'],Standard,"[32, 64]",2000,sgd,0.0005,0.9,constant
Candidat_687072,100,0.369881436,0.343333846,0.713215282,687072,['User_ID'],Standard,"[32, 64]",2000,sgd,0.0005,0.9,adaptive
Candidat_687075,100,0.369881436,0.343333846,0.713215282,687075,['User_ID'],Standard,"[32, 64]",2000,sgd,0.0005,0.85,adaptive
Candidat_687073,100,0.369881436,0.343333846,0.713215282,687073,['User_ID'],Standard,"[32, 64]",2000,sgd,0.0005,0.85,constant
Candidat_687074,100,0.369881436,0.343333846,0.713215282,687074,['User_ID'],Standard,"[32, 64]",2000,sgd,0.0005,0.85,invscaling
Candidat_686236,100,0.373642512,0.348001711,0.721644224,686236,['User_ID'],Standard,"[32, 32]",2000,sgd,0.0001,1,constant
Candidat_686237,100,0.373642512,0.348001711,0.721644224,686237,['User_ID'],Standard,"[32, 32]",2000,sgd,0.0001,1,invscaling
Candidat_686238,100,0.373642512,0.348001711,0.721644224,686238,['User_ID'],Standard,"[32, 32]",2000,sgd,0.0001,1,adaptive
Candidat_686239,100,0.373642512,0.348001711,0.721644224,686239,['User_ID'],Standard,"[32, 32]",2000,sgd,0.0001,0.99,constant
Candidat_686240,100,0.373642512,0.348001711,0.721644224,686240,['User_ID'],Standard,"[32, 32]",2000,sgd,0.0001,0.99,invscaling
Candidat_686241,100,0.373642512,0.348001711,0.721644224,686241,['User_ID'],Standard,"[32, 32]",2000,sgd,0.0001,0.99,adaptive
Candidat_686243,100,0.373642512,0.348001711,0.721644224,686243,['User_ID'],Standard,"[32, 32]",2000,sgd,0.0001,0.95,invscaling
Candidat_686244,100,0.373642512,0.348001711,0.721644224,686244,['User_ID'],Standard,"[32, 32]",2000,sgd,0.0001,0.95,adaptive
Candidat_686245,100,0.373642512,0.348001711,0.721644224,686245,['User_ID'],Standard,"[32, 32]",2000,sgd,0.0001,0.9,constant
Candidat_686246,100,0.373642512,0.348001711,0.721644224,686246,['User_ID'],Standard,"[32, 32]",2000,sgd,0.0001,0.9,invscaling
Candidat_686247,100,0.373642512,0.348001711,0.721644224,686247,['User_ID'],Standard,"[32, 32]",2000,sgd,0.0001,0.9,adaptive
Candidat_686248,100,0.373642512,0.348001711,0.721644224,686248,['User_ID'],Standard,"[32, 32]",2000,sgd,0.0001,0.85,constant
Candidat_686249,100,0.373642512,0.348001711,0.721644224,686249,['User_ID'],Standard,"[32, 32]",2000,sgd,0.0001,0.85,invscaling
Candidat_686250,100,0.373642512,0.348001711,0.721644224,686250,['User_ID'],Standard,"[32, 32]",2000,sgd,0.0001,0.85,adaptive
Candidat_686242,100,0.373642512,0.348001711,0.721644224,686242,['User_ID'],Standard,"[32, 32]",2000,sgd,0.0001,0.95,constant
Candidat_729089,100,0.374631747,0.350102873,0.724734621,729089,['User_ID'],Standard,"[8, 32, 64]",2000,sgd,0.0001,0.85,invscaling
Candidat_729088,100,0.374631747,0.350102873,0.724734621,729088,['User_ID'],Standard,"[8, 32, 64]",2000,sgd,0.0001,0.85,constant
Candidat_729076,100,0.374631747,0.350102873,0.724734621,729076,['User_ID'],Standard,"[8, 32, 64]",2000,sgd,0.0001,1,constant
Candidat_729077,100,0.374631747,0.350102873,0.724734621,729077,['User_ID'],Standard,"[8, 32, 64]",2000,sgd,0.0001,1,invscaling
Candidat_729078,100,0.374631747,0.350102873,0.724734621,729078,['User_ID'],Standard,"[8, 32, 64]",2000,sgd,0.0001,1,adaptive
Candidat_729079,100,0.374631747,0.350102873,0.724734621,729079,['User_ID'],Standard,"[8, 32, 64]",2000,sgd,0.0001,0.99,constant
Candidat_729080,100,0.374631747,0.350102873,0.724734621,729080,['User_ID'],Standard,"[8, 32, 64]",2000,sgd,0.0001,0.99,invscaling
Candidat_729081,100,0.374631747,0.350102873,0.724734621,729081,['User_ID'],Standard,"[8, 32, 64]",2000,sgd,0.0001,0.99,adaptive
Candidat_729082,100,0.374631747,0.350102873,0.724734621,729082,['User_ID'],Standard,"[8, 32, 64]",2000,sgd,0.0001,0.95,constant
Candidat_729083,100,0.374631747,0.350102873,0.724734621,729083,['User_ID'],Standard,"[8, 32, 64]",2000,sgd,0.0001,0.95,invscaling
Candidat_729084,100,0.374631747,0.350102873,0.724734621,729084,['User_ID'],Standard,"[8, 32, 64]",2000,sgd,0.0001,0.95,adaptive
Candidat_729085,100,0.374631747,0.350102873,0.724734621,729085,['User_ID'],Standard,"[8, 32, 64]",2000,sgd,0.0001,0.9,constant
Candidat_729086,100,0.374631747,0.350102873,0.724734621,729086,['User_ID'],Standard,"[8, 32, 64]",2000,sgd,0.0001,0.9,invscaling
Candidat_729087,100,0.374631747,0.350102873,0.724734621,729087,['User_ID'],Standard,"[8, 32, 64]",2000,sgd,0.0001,0.9,adaptive
Candidat_729090,100,0.374631747,0.350102873,0.724734621,729090,['User_ID'],Standard,"[8, 32, 64]",2000,sgd,0.0001,0.85,adaptive
Candidat_686206,100,0.372127567,0.361036692,0.733164259,686206,['User_ID'],Standard,"[32, 32]",2000,sgd,0.001,1,constant
Candidat_686207,100,0.372127567,0.361036692,0.733164259,686207,['User_ID'],Standard,"[32, 32]",2000,sgd,0.001,1,invscaling
Candidat_686208,100,0.372127567,0.361036692,0.733164259,686208,['User_ID'],Standard,"[32, 32]",2000,sgd,0.001,1,adaptive
Candidat_686209,100,0.372127567,0.361036692,0.733164259,686209,['User_ID'],Standard,"[32, 32]",2000,sgd,0.001,0.99,constant
Candidat_686210,100,0.372127567,0.361036692,0.733164259,686210,['User_ID'],Standard,"[32, 32]",2000,sgd,0.001,0.99,invscaling
Candidat_686211,100,0.372127567,0.361036692,0.733164259,686211,['User_ID'],Standard,"[32, 32]",2000,sgd,0.001,0.99,adaptive
Candidat_686212,100,0.372127567,0.361036692,0.733164259,686212,['User_ID'],Standard,"[32, 32]",2000,sgd,0.001,0.95,constant
Candidat_686213,100,0.372127567,0.361036692,0.733164259,686213,['User_ID'],Standard,"[32, 32]",2000,sgd,0.001,0.95,invscaling
Candidat_686214,100,0.372127567,0.361036692,0.733164259,686214,['User_ID'],Standard,"[32, 32]",2000,sgd,0.001,0.95,adaptive
Candidat_686215,100,0.372127567,0.361036692,0.733164259,686215,['User_ID'],Standard,"[32, 32]",2000,sgd,0.001,0.9,constant
Candidat_686216,100,0.372127567,0.361036692,0.733164259,686216,['User_ID'],Standard,"[32, 32]",2000,sgd,0.001,0.9,invscaling
Candidat_686217,100,0.372127567,0.361036692,0.733164259,686217,['User_ID'],Standard,"[32, 32]",2000,sgd,0.001,0.9,adaptive
Candidat_686218,100,0.372127567,0.361036692,0.733164259,686218,['User_ID'],Standard,"[32, 32]",2000,sgd,0.001,0.85,constant
Candidat_686219,100,0.372127567,0.361036692,0.733164259,686219,['User_ID'],Standard,"[32, 32]",2000,sgd,0.001,0.85,invscaling
Candidat_686220,100,0.372127567,0.361036692,0.733164259,686220,['User_ID'],Standard,"[32, 32]",2000,sgd,0.001,0.85,adaptive
Candidat_687090,100,0.369125537,0.367750914,0.736876451,687090,['User_ID'],Standard,"[32, 64]",2000,sgd,0.0001,0.85,adaptive
Candidat_687076,100,0.369125537,0.367750914,0.736876451,687076,['User_ID'],Standard,"[32, 64]",2000,sgd,0.0001,1,constant
Candidat_687077,100,0.369125537,0.367750914,0.736876451,687077,['User_ID'],Standard,"[32, 64]",2000,sgd,0.0001,1,invscaling
Candidat_687078,100,0.369125537,0.367750914,0.736876451,687078,['User_ID'],Standard,"[32, 64]",2000,sgd,0.0001,1,adaptive
